
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-04-02 03:19:33 /register ........................................ ~ 1s
  2026-04-02 03:19:36 /_debugbar/assets ............................ ~ 0.24ms
  2026-04-02 03:19:36 /_debugbar/assets ............................ ~ 0.06ms
  2026-04-02 03:20:50 /register .................................. ~ 500.57ms
  2026-04-02 03:20:51 /_debugbar/assets ............................ ~ 0.08ms
  2026-04-02 03:20:51 /_debugbar/assets ............................ ~ 0.98ms
  2026-04-02 03:21:37 /register .................................... ~ 0.22ms
  2026-04-02 03:21:38 /_debugbar/assets ............................ ~ 0.23ms
  2026-04-02 03:21:39 /_debugbar/assets ............................ ~ 0.06ms
  2026-04-02 03:22:47 /register .................................... ~ 0.19ms
  2026-04-02 03:22:47 /_debugbar/assets ............................ ~ 0.11ms
  2026-04-02 03:22:47 /_debugbar/assets ............................ ~ 0.99ms
  2026-04-02 03:22:52 /register .................................. ~ 501.12ms
  2026-04-02 03:22:52 /dashboard ................................... ~ 0.10ms
  2026-04-02 03:22:52 /_debugbar/open .............................. ~ 0.09ms
  2026-04-02 03:22:52 /_debugbar/open .............................. ~ 0.09ms
  2026-04-02 03:22:53 /courses ..................................... ~ 0.17ms
  2026-04-02 03:23:47 /register .................................. ~ 503.16ms
  2026-04-02 03:23:47 /_debugbar/assets ............................ ~ 0.08ms
  2026-04-02 03:23:47 /_debugbar/assets ............................ ~ 1.44ms
  2026-04-02 03:23:48 /register .................................. ~ 500.49ms
  2026-04-02 03:23:49 /dashboard ................................... ~ 1.76ms
  2026-04-02 03:23:49 /_debugbar/open .............................. ~ 0.07ms
  2026-04-02 03:23:49 /_debugbar/open .............................. ~ 1.04ms
  2026-04-02 03:23:49 /courses ..................................... ~ 0.22ms
